"","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_init"
"16","102043","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Microdeutopus anomalus","Microdeutopus anomalus"
"17","147029","Animalia","Arthropoda","Malacostraca","Leptostraca","Nebaliidae",NA,NA,"Nebaliidae sp."
"18","130359","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys hombergii","Nephtys cf. hombergii"
"19","130357","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys cirrosa","Nephtys cirrosa"
"20","129379","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis",NA,"Nereis spp."
"21","129898","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Notomastus","Notomastus latericeus","Notomastus latericeus"
"22","101864","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Phtisica","Phtisica marina","Phtisica marina"
"23","130417","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Platynereis dumerilii","Platynereis dumerilii"
"24","129620","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Prionospio",NA,"Prionospio spp."
"25","131170","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans","Pygospio elegans"
"26","416601","Animalia","Arthropoda","Malacostraca","Tanaidacea","Tanaididae","Zeuxo","Zeuxo holdichi","Zeuxo holdichi"
"27","129964","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirriformia","Cirriformia tentaculata","Cirriformia tentaculata"
"28","607402","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Hilbigneris","Hilbigneris gracilis","Hilbigneris gracilis"
"29","140283","Animalia","Mollusca","Bivalvia","Lucinida","Lucinidae","Lucinoma","Lucinoma borealis","Lucinoma borealis"
"30","488957","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis guttatus","Nototropis guttatus"
"31","130967","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella pavonina","Sabella pavonina"
"32","131074","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","Sthenelais boa","Sthenelais boa"
"33","102002","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe rubricata","Ampithoe rubricata"
"34","129879","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella minima","Capitella minima"
"35","101822","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella acanthifera","Caprella acanthifera"
"36","102135","Animalia","Arthropoda","Malacostraca","Amphipoda","Dexaminidae","Dexamine","Dexamine spinosa","Dexamine spinosa"
"37","102408","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Ericthonius","Ericthonius punctatus","Ericthonius punctatus"
"38","130130","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera tridactyla","Glycera tridactyla"
"39","129884","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus","Heteromastus filiformis","Heteromastus filiformis"
"40","141815","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Jujubinus","Jujubinus striatus","Jujubinus striatus"
"41","102460","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Leucothoe","Leucothoe incisa","Leucothoe incisa"
"42","131131","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros","Malacoceros fuliginosus","Malacoceros fuliginosus"
"43","147021","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Moerella","Moerella donacina","Moerella donacina"
"44","757970","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Parexogone","Parexogone hebes","Parexogone hebes"
"45","130408","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Perinereis","Perinereis cultrifera","Perinereis cultrifera"
"46","107188","Animalia","Arthropoda","Malacostraca","Decapoda","Porcellanidae","Pisidia","Pisidia longicornis","Pisidia longicornis"
"47","154127","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos rudolphi","Schistomeringos rudolphi"
"48","124672","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Phyllophoridae","Thyone","Thyone inermis","Thyone inermis"
"49","157496","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes acuminata","Neanthes acuminata"
"50","2036","Animalia","Annelida","Clitellata",NA,NA,NA,NA,"Oligochaeta spp."
"51","1039839","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala cineraria","Steromphala cineraria"
"52","141433","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra alba","Abra alba"
"53","994123","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma","Acromegalomma vesiculosum","Acromegalomma vesiculosum"
"54","1360","Animalia","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,"Actiniaria spp."
"55","136285","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudes","Apseudes talpa","Apseudes talpa"
"56","130616","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eteone","Eteone longa","Eteone longa"
"57","102364","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis","Gammaropsis maculata","Gammaropsis maculata"
"58","130301","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Macroclymene","Macroclymene santanderensis","Macroclymene santanderensis"
"59","102815","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Maera","Maera grossimana","Maera grossimana"
"60","338471","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros","Malacoceros girardi","Malacoceros girardi"
"61","101471","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus",NA,"Microdeutopus sp."
"62","102052","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Microdeutopus stationis","Microdeutopus stationis"
"63","102053","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Microdeutopus versiculatus","Microdeutopus versiculatus"
"64","334102","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes nubila","Neanthes nubila"
"65","107235","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus cuanensis","Pagurus cuanensis"
"66","139008","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Parvicardium","Parvicardium exiguum","Parvicardium exiguum"
"67","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA,"Polydora spp."
"68","129340","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma",NA,"Scoletoma spp."
"69","876821","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Tritia","Tritia reticulata","Tritia reticulata"
"70","919","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae",NA,NA,"Cirratulidae spp."
"71","140733","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis","Ensis ensis","Ensis ensis"
"72","110462","Animalia","Arthropoda","Malacostraca","Cumacea","Bodotriidae","Iphinoe","Iphinoe trispinosa","Iphinoe trispinosa"
"73","102431","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa","Jassa falcata","Jassa falcata"
"74","130711","Animalia","Annelida","Polychaeta","Spionida","Poecilochaetidae","Poecilochaetus","Poecilochaetus serpens","Poecilochaetus serpens"
"75","246150","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes","Polititapes aureus","Polititapes aureus"
"76","107217","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Anapagurus","Anapagurus hyndmanni","Anapagurus hyndmanni"
"77","100808","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia viridis","Anemonia viridis"
"78","129953","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone","Chaetozone gibber","Chaetozone gibber"
"79","140201","Animalia","Mollusca","Polyplacophora","Lepidopleurida","Leptochitonidae","Leptochiton","Leptochiton cancellatus","Leptochiton cancellatus"
"80","152276","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","Malmgrenia arenicolae","Malmgrenia arenicolae"
"81","130601","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","Pholoe inornata","Pholoe inornata"
"82","129625","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio",NA,"Spio spp."
"83","125064","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata","Amphipholis squamata"
"84","102160","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa bispinosa","Apherusa bispinosa"
"85","1302153","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus spencebatei","Apolochus spencebatei"
"86","129943","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","Caulleriella alata","Caulleriella alata"
"87","129654","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone",NA,"Exogone spp."
"88","110391","Animalia","Arthropoda","Malacostraca","Cumacea","Bodotriidae","Iphinoe",NA,"Iphinoe spp."
"89","884676","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Kirkegaardia",NA,"Kirkegaardia spp."
"90","742170","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Leodice","Leodice harassii","Leodice harassii"
"91","101857","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Pariambus","Pariambus typicus","Pariambus typicus"
"92","334512","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce mucosa","Phyllodoce mucosa"
"93","102916","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Pontocrates","Pontocrates altamarinus","Pontocrates altamarinus"
"94","129582","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus",NA,"Spirobranchus spp."
"95","1039850","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala umbilicalis","Steromphala umbilicalis"
"96","129808","Animalia","Annelida","Polychaeta","Terebellida","Melinnidae","Melinna","Melinna palmata","Melinna palmata"
"97","134687","Animalia","Arthropoda","Pycnogonida","Pantopoda","Nymphonidae","Nymphon","Nymphon gracile","Nymphon gracile"
"98","107418","Animalia","Arthropoda","Malacostraca","Decapoda","Pilumnidae","Pilumnus","Pilumnus hirtellus","Pilumnus hirtellus"
"99","102787","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita gladiosa","Abludomelita gladiosa"
"100","129876","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella capitata","Capitella capitata"
"101","129616","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Microspio",NA,"Microspio spp."
"102","102915","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Perioculodes","Perioculodes longimanus","Perioculodes longimanus"
"103","1039846","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala pennanti","Steromphala pennanti"
"104","102611","Animalia","Arthropoda","Malacostraca","Amphipoda","Lysianassidae","Lysianassa","Lysianassa plumosa","Lysianassa plumosa"
"105","107232","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus bernhardus","Pagurus bernhardus"
"106","141662","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Thyasira","Thyasira flexuosa","Thyasira flexuosa"
"107","136080","Animalia","Annelida",NA,"Sipuncula","Phascolosomatidae","Phascolosoma","Phascolosoma (Phascolosoma) granulatum","Phascolosoma (Phascolosoma) granulatum"
"108","107010","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Philocheras",NA,"Philocheras spp."
"109","129614","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Malacoceros",NA,"Malacoceros spp."
"110","147006","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia",NA,"Malmgrenia spp."
"111","130114","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Piromis","Piromis eruca","Piromis eruca"
"112","152774","Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","Lepidochitona","Lepidochitona cinerea","Lepidochitona cinerea"
"113","179538","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis vedlomensis","Nototropis vedlomensis"
"114","139012","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Parvicardium","Parvicardium scabrum","Parvicardium scabrum"
"115","102928","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Synchelidium","Synchelidium maculatum","Synchelidium maculatum"
"116","141936","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Venus","Venus verrucosa","Venus verrucosa"
"117","410724","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","Golfingia (Golfingia) vulgaris","Golfingia (Golfingia) vulgaris vulgaris"
"118","102033","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Lembos","Lembos websteri","Lembos websteri"
"119","1297885","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Paucibranchia","Paucibranchia bellii","Paucibranchia bellii"
"120","745846","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes","Polititapes rhomboides","Polititapes rhomboides"
"121","994098","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma",NA,"Acromegalomma spp."
"122","131480","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitritides","Amphitritides gracilis","Amphitritides gracilis"
"123","139054","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiidae","Bittium","Bittium reticulatum","Bittium reticulatum"
"124","130781","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe spinifera","Harmothoe spinifera"
"125","131495","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Lanice","Lanice conchilega","Lanice conchilega"
"126","488966","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Nototropis","Nototropis swammerdamei","Nototropis swammerdamei"
"127","181343","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Parvicardium","Parvicardium pinnulatum","Parvicardium pinnulatum"
"128","129708","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Pista",NA,"Pista spp."
"129","102008","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Pleonexes","Pleonexes gammaroides","Pleonexes gammaroides"
"130","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA,"Polycirrus spp."
"131","107054","Animalia","Arthropoda","Malacostraca","Decapoda","Processidae","Processa",NA,"Processa spp."
"132","129155","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete",NA,"Ampharete spp."
"133","256988","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Dynamene","Dynamene bidentata","Dynamene bidentata"
"134","156083","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Eualus","Eualus cranchii","Eualus cranchii"
"135","123449","Animalia","Echinodermata","Holothuroidea","Apodida","Synaptidae","Leptosynapta",NA,"Leptosynapta spp."
"136","124913","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiura","Ophiura albida","Ophiura albida"
"137","138963","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata","Crepidula fornicata"
"138","107386","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus","Liocarcinus corrugatus","Liocarcinus corrugatus"
"139","131545","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Thelepus","Thelepus triserialis","Thelepus triserialis"
"140","107552","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon crangon","Crangon crangon"
"141","126964","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Ctenolabrus","Ctenolabrus rupestris","Ctenolabrus rupestris"
"142","1526389","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus flavescens","Pomatoschistus flavescens"
"143","107518","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte","Hippolyte varians","Hippolyte varians"
"144","107616","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon serratus","Palaemon serratus"
"145","120177","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Praunus","Praunus flexuosus","Praunus flexuosus"
"146","126508","Animalia","Chordata","Actinopteri","Perciformes","Gasterosteidae","Spinachia","Spinachia spinachia","Spinachia spinachia"
"147","102172","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa ovalipes","Apherusa ovalipes"
"148","126510","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Apletodon","Apletodon dentatus","Apletodon dentatus"
"149","101535","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Echinogammarus",NA,"Echinogammarus spp."
"150","107358","Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pisa","Pisa tetraodon","Pisa tetraodon"
"151","141365","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa parva","Rissoa parva"
"152","127204","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Taurulus","Taurulus bubalis","Taurulus bubalis"
"153","141700","Animalia","Mollusca","Gastropoda","Trochida","Phasianellidae","Tricolia","Tricolia pullus","Tricolia pullus"
"154","103484","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella",NA,"Ascidiella spp."
"155","119024","Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla","Astacilla longicornis","Astacilla longicornis"
"156","101489","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,"Corophium spp."
"157","134674","Animalia","Arthropoda","Pycnogonida","Pantopoda","Endeidae","Endeis","Endeis spinosa","Endeis spinosa"
"158","118852","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Eurydice","Eurydice pulchra","Eurydice pulchra"
"159","107511","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte","Hippolyte inermis","Hippolyte inermis"
"160","102039","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Leptocheirus","Leptocheirus pectinatus","Leptocheirus pectinatus"
"161","140211","Animalia","Mollusca","Polyplacophora","Lepidopleurida","Leptochitonidae","Leptochiton","Leptochiton scabridus","Leptochiton scabridus"
"162","141353","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa guerinii","Rissoa guerinii"
"163","127379","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus","Entelurus aequoreus"
"164","119050","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea","Idotea pelagica","Idotea pelagica"
"165","140168","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna","Lacuna pallidula","Lacuna pallidula"
"166","107345","Animalia","Arthropoda","Malacostraca","Decapoda","Inachidae","Macropodia","Macropodia rostrata","Macropodia rostrata"
"167","236719","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Mimachlamys","Mimachlamys varia","Mimachlamys varia"
"168","273571","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus melops","Symphodus melops"
"169","118936","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Cymodoce","Cymodoce truncata","Cymodoce truncata"
"170","152391","Animalia","Nemertea",NA,NA,NA,NA,NA,"Nemertea spp."
"171","126996","Animalia","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","Pholis gunnellus"
"172","1262334","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Pleonexes","Pleonexes helleri","Pleonexes helleri"
"173","141358","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa lilacina","Rissoa lilacina"
"174","141359","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa membranacea","Rissoa membranacea"
"175","141454","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiolidae","Sepiola","Sepiola atlantica","Sepiola atlantica"
"176","101537","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus",NA,"Gammarus spp."
"177","141790","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Gibbula","Gibbula magus","Gibbula magus"
"178","107381","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas"
"179","118843","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Eurydice","Eurydice affinis","Eurydice affinis"
"180","2041","Animalia","Annelida","Clitellata",NA,NA,NA,NA,"Hirudinea"
"181","141807","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Jujubinus","Jujubinus exasperatus","Jujubinus exasperatus"
"182","126965","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Labrus","Labrus bergylta","Labrus bergylta"
"183","107338","Animalia","Arthropoda","Malacostraca","Decapoda","Inachidae","Macropodia","Macropodia deflexa","Macropodia deflexa"
"184","127393","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus typhle","Syngnathus typhle"
"185","102665","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Orchomene","Orchomene humilis","Orchomene humilis"
"186","102000","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe ramondi","Ampithoe ramondi"
"187","126792","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Callionymus","Callionymus lyra","Callionymus lyra"
"188","137916","Animalia","Mollusca","Gastropoda","Nudibranchia","Dotidae","Doto",NA,"Doto sp."
"189","119039","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea","Idotea balthica","Idotea balthica"
"190","102470","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Leucothoe","Leucothoe spinicarpa","Leucothoe spinicarpa"
"191","141320","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Onoba","Onoba semicostata","Onoba semicostata"
"192","103056","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Podocerus","Podocerus variegatus","Podocerus variegatus"
"193","102163","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa cirrus","Apherusa cirrus"
"194","138758","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","Aplysia punctata","Aplysia punctata"
"195","127385","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Nerophis","Nerophis ophidion","Nerophis ophidion"
"196","102748","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Tryphosa","Tryphosa nana","Tryphosa nana"
"197","138843","Animalia","Mollusca","Gastropoda","Littorinimorpha","Barleeiidae","Barleeia","Barleeia unifasciata","Barleeia unifasciata"
"198","107513","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte","Hippolyte leptocerus","Hippolyte leptocerus"
"199","140263","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina obtusata","Littorina obtusata"
"200","107615","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon longirostris","Palaemon longirostris"
"201","140169","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna","Lacuna parva","Lacuna parva"
"202","107393","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus","Liocarcinus pusillus","Liocarcinus pusillus"
"203","168526","Animalia","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale (Aegogropila) contarenii","Mycale (Aegogropila) contarenii"
"204","140092","Animalia","Mollusca","Gastropoda",NA,"Hermaeidae","Hermaea","Hermaea bifida","Hermaea bifida"
"205","107486","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas nitescens","Athanas nitescens"
"206","107333","Animalia","Arthropoda","Malacostraca","Decapoda","Inachidae","Inachus","Inachus phalangium","Inachus phalangium"
"207","138677","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona fascicularis","Acanthochitona fascicularis"
"208","138748","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia ephippium","Anomia ephippium"
"209","100946","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis parasitica","Calliactis parasitica"
"210","138880","Animalia","Mollusca","Gastropoda","Neogastropoda","Chauvetiidae","Chauvetia","Chauvetia brunnea","Chauvetia brunnea"
"211","141280","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Crisilla","Crisilla semistriata","Crisilla semistriata"
"212","107506","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Eualus","Eualus occultus","Eualus occultus"
"213","140471","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Musculus","Musculus costulatus","Musculus costulatus"
"214","141147","Animalia","Mollusca","Gastropoda",NA,"Rissoellidae","Rissoella","Rissoella diaphana","Rissoella diaphana"
"215","103228","Animalia","Arthropoda","Malacostraca","Amphipoda","Urothoidae","Urothoe","Urothoe elegans","Urothoe elegans"
