"Species","Mobility","AFF.MO","AMBI","Fragilite","AFF.RO","Tube","Taille","GT","Position","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"Ampithoe rubricata","Mobile","I","I","Peu fragile","Dur","1","P","Herbivore","Epifaune","102002","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe rubricata"
"Anapagurus hyndmanni","Mobile","I","I","Peu fragile","Meuble","0","P","Detritivore","Epifaune","107217","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Anapagurus","Anapagurus hyndmanni"
"Anemonia viridis","Fixe","I","I","Tres fragile","Dur","0","PM","Predateur","Epifaune","100808","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia viridis"
"Animoceradocus semiserratus","Mobile","I","I","Peu fragile","Meuble","0","TP","Detritivore","Epifaune","531364","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Animoceradocus","Animoceradocus semiserratus"
"Anapagurus hyndmanni",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","107217","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Anapagurus","Anapagurus hyndmanni"
"Anomia ephippium","Fixe","I","I","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","138748","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia ephippium"
"Anapagurus hyndmanni",NA,NA,"III",NA,NA,NA,NA,NA,"Epifaune","107217","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Anapagurus","Anapagurus hyndmanni"
"Anoplodactylus angulatus","Peu mobile","I","II","Tres fragile","Meuble","0","TP","Omnivore","Epifaune","134714","Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus angulatus"
"Anseropoda placenta","Mobile","I","I","Tres fragile","Meuble","0","MG","Predateur","Epifaune","123985","Animalia","Echinodermata","Asteroidea","Valvatida","Anseropodidae","Anseropoda","Anseropoda placenta"
"Antalis entalis","Peu mobile","I","I","Pas fragile","Meuble","0","PM","Deposivore","Endofaune","150534","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis entalis"
"Antalis vulgaris","Peu mobile","I","I","Pas fragile","Meuble","0","PM","Deposivore","Endofaune","196380","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis vulgaris"
"Anthozoa","Fixe","I","I","Tres fragile","Indifferent","1","MG","Predateur","Interstice","1292","Animalia","Cnidaria","Anthozoa",NA,NA,NA,NA
"Anthura gracilis","Mobile","I","I","Peu fragile","Dur","1","TP","Detritivore","Epifaune","118467","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae","Anthura","Anthura gracilis"
"Anthuridae","Peu mobile","II",NA,"Peu fragile","Indifferent","0","P","Predateur","Interstice","118244","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae",NA,NA
"Anoplodactylus petiolatus",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","134723","Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus petiolatus"
"Aonides","Peu mobile","III","III","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","129605","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides",NA
"Aonides oxycephala","Peu mobile","III","III","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","131106","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides oxycephala"
"Aonides paucibranchiata","Peu mobile","III","III","Tres fragile","Dur","1","P","Deposivore","Endofaune","131107","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides paucibranchiata"
"Antalis novemcostata",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","196381","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis novemcostata"
"Aora sp.","Mobile","I","I","Tres fragile","Indifferent","1","TP","Deposivore","Epifaune","101464","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora",NA
"Aora gracilis","Mobile","I","I","Tres fragile","Dur","1","TP","Deposivore","Epifaune","102012","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora","Aora gracilis"
"Antedon bifida",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","124201","Animalia","Echinodermata","Crinoidea","Comatulida","Antedonidae","Antedon","Antedon bifida"
"Aora gracilis","Mobile","I","I","Tres fragile","Indifferent","1","TP","Detritivore","Epifaune","102012","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora","Aora gracilis"
"Aoridae sp.","Mobile","I","I","Tres fragile","Indifferent","0","TP","Deposivore","Epifaune","101368","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae",NA,NA
"Aphelochaeta spp.","Peu mobile","IV","IV","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","129240","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta",NA
"Aphelochaeta cf. marioni","Peu mobile","IV","IV","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","129938","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta marioni"
"Apherusa bispinosa","Mobile","I","I","Peu fragile","Dur","0","TP","Predateur","Epifaune","102160","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa bispinosa"
"Apherusa cirrus","Mobile","I","I","Peu fragile","Dur","0","TP","Deposivore","Epifaune","102163","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa cirrus"
"Apherusa jurinei","Mobile","I","I","Peu fragile","Dur","0","TP","Detritivore","Epifaune","102168","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa jurinei"
"Apherusa ovalipes","Mobile","I","I","Peu fragile","Dur","0","TP","Predateur","Epifaune","102172","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa ovalipes"
"Aphrodita aculeata","Mobile","II","I","Peu fragile","Meuble","0","M","Predateur","Endofaune","129840","Animalia","Annelida","Polychaeta","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita aculeata"
"Apletodon dentatus","Mobile",NA,NA,"Peu fragile","Dur","0","P","Predateur","Epifaune","126510","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Apletodon","Apletodon dentatus"
"Aplidium","Fixe","I","II","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","103471","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Aplidium",NA
"Aphelochaeta spp.",NA,NA,"III",NA,NA,NA,NA,NA,"Endofaune","129240","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta",NA
"Aplidium elegans","Fixe","I","II","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","103643","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Aplidium","Aplidium elegans"
"Apherusa",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","101509","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa",NA
"Aplysia punctata","Mobile","I","I","Tres fragile","Indifferent","0","M","Herbivore","Epifaune","138758","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","Aplysia punctata"
"Aplysia punctata","Mobile","I","I","Tres fragile","Indifferent","0","M","Herbivore","Epifaune","138758","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","Aplysia punctata"
"Corophium spp.","Mobile","III","III","Peu fragile","Dur","0","TP","Detritivore","Epifaune","101489","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA
"Apolochus neapolitanus","Mobile","I","II","Pas fragile","Dur","0","TP","Predateur","Epifaune","236495","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus neapolitanus"
"Apolochus spencebatei","Peu mobile","I","II","Pas fragile","Meuble","0","TP","Predateur","Interstice","1302153","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus spencebatei"
"Aponuphis bilineata","Mobile","I","I","Tres fragile","Meuble","1","PM","Omnivore","Endofaune","130452","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Aponuphis","Aponuphis bilineata"
"Apseudes talpa","Mobile","III","II","Peu fragile","Indifferent","0","TP","Deposivore","Epifaune","136285","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudes","Apseudes talpa"
"Apseudopsis latreillii","Mobile","III","III","Peu fragile","Indifferent","0","TP","Detritivore","Epifaune","247077","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudopsis","Apseudopsis latreillii"
"Aplysia",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","137654","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia",NA
"Arabella iricolor","Mobile","II","I","Peu fragile","Indifferent","0","G","Predateur","Endofaune","129854","Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella iricolor"
"Arcopagia crassa","Peu mobile","I","I","Pas fragile","Meuble","0","PM","Deposivore","Endofaune","141577","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Arcopagia","Arcopagia crassa"
"Aricidea","Peu mobile","I","I","Peu fragile","Meuble","0","P","Deposivore","Endofaune","129430","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea",NA
"Aricidea (Acmira) cerrutii","Peu mobile","I","I","Peu fragile","Meuble","0","P","Predateur","Endofaune","525497","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea","Aricidea (Acmira) cerrutii"
"Armandia cirrhosa","Peu mobile","I","I","Tres fragile","Indifferent","0","TP","Deposivore","Endofaune","130485","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Armandia","Armandia cirrhosa"
"Armandia cirrhosa","Peu mobile","I","I","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130485","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Armandia","Armandia cirrhosa"
"Ascidia","Fixe","I","III","Tres fragile","Dur","0","M","Suspensivore","Epifaune","103483","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia",NA
"Ascidia mentula","Fixe","I","III","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","103710","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia mentula"
"Ascidia virginea","Fixe","I","III","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","103717","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia virginea"
"Ascidiacea","Fixe","I","III","Tres fragile","Dur","0","M","Suspensivore","Epifaune","1839","Animalia","Chordata","Ascidiacea",NA,NA,NA,NA
"Arenicolides grubii",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129871","Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicolides","Arenicolides grubii"
"Ascidiella spp.","Fixe","I","III","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","103484","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella",NA
"Ascidiella spp.","Fixe","I","III","Tres fragile","Dur","0","P","Suspensivore","Epifaune","103484","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella",NA
"Asclerocheilus intermedius","Peu mobile","I","III","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130974","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Asclerocheilus","Asclerocheilus intermedius"
"Asbjornsenia pygmaea",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","879714","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Asbjornsenia","Asbjornsenia pygmaea"
"Aslia lefevrei","Peu mobile","I",NA,"Peu fragile","Dur","0","M","Inconnu","Interstice","124598","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Aslia","Aslia lefevrei"
"Aspidosiphon (Aspidosiphon) muelleri muelleri","Peu mobile","I","I","Tres fragile","Dur","0","PM","Detritivore","Endofaune","410717","Animalia","Annelida",NA,"Sipuncula","Aspidosiphonidae","Aspidosiphon","Aspidosiphon (Aspidosiphon) muelleri"
"Astacilla longicornis","Mobile","I","I","Peu fragile","Indifferent","0","P","Suspensivore","Epifaune","119024","Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla","Astacilla longicornis"
"Asterias rubens","Mobile","I","III","Peu fragile","Dur","0","MG","Predateur","Epifaune","123776","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens"
"Asterina gibbosa","Mobile","I","I","Peu fragile","Dur","0","PM","Predateur","Epifaune","123987","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Asterina","Asterina gibbosa"
"Atelecyclus rotundatus","Mobile","I","I","Peu fragile","Meuble","0","P","Predateur","Epifaune","107273","Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus rotundatus"
"Atelecyclus undecimdentatus","Mobile","I","I","Peu fragile","Meuble","0","P","Predateur","Epifaune","107274","Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus undecimdentatus"
"Athanas nitescens","Mobile","I","I","Peu fragile","Meuble","0","P","Predateur","Epifaune","107486","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas nitescens"
"Austrosyrrhoe","Mobile","I",NA,"Tres fragile","Meuble","0","TP","Deposivore","Epifaune","101773","Animalia","Arthropoda","Malacostraca","Amphipoda","Synopiidae","Austrosyrrhoe",NA
"Axius stirynchus","Mobile","I",NA,"Peu fragile","Meuble","0","PM","Inconnu","Epifaune","477515","Animalia","Arthropoda","Malacostraca","Decapoda","Axiidae","Axius","Axius stirynchus"
"Barleeia unifasciata","Peu mobile","I","II","Peu fragile","Dur","0","TP","Herbivore","Epifaune","138843","Animalia","Mollusca","Gastropoda","Littorinimorpha","Barleeiidae","Barleeia","Barleeia unifasciata"
"Astropecten irregularis",NA,NA,"I",NA,NA,NA,NA,NA,"Interstice","123867","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten irregularis"
"Bathyporeia spp.","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","101742","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia",NA
"Bathyporeia spp.","Mobile","I","I","Pas fragile","Meuble","0","TP","Deposivore","Endofaune","101742","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia",NA
"Bathyporeia spp.","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","101742","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia",NA
"Berthella plumula","Mobile","I","I","Tres fragile","Dur","0","PM","Brouteur","Epifaune","140812","Animalia","Mollusca","Gastropoda","Pleurobranchida","Pleurobranchidae","Berthella","Berthella plumula"
"Bispira","Fixe","I","I","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","129523","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Bispira",NA
"Axiothella",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129342","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Axiothella",NA
"Bittium reticulatum","Peu mobile","I","I","Pas fragile","Meuble","0","P","Brouteur","Epifaune","139054","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiidae","Bittium","Bittium reticulatum"
