"worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_init"
"1302153","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus spencebatei","Apolochus spencebatei"
"125080","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","Amphiura filiformis","Amphiura filiformis"
"129686","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitrite",NA,"Amphitrite spp."
"102000","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe ramondi","Ampithoe ramondi"
"102002","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe rubricata","Ampithoe rubricata"
"107217","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Anapagurus","Anapagurus hyndmanni","Anapagurus hyndmanni"
"100808","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia viridis","Anemonia viridis"
"531364","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Animoceradocus","Animoceradocus semiserratus","Animoceradocus semiserratus"
"138748","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia ephippium","Anomia ephippium"
"134714","Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus angulatus","Anoplodactylus angulatus"
"123985","Animalia","Echinodermata","Asteroidea","Valvatida","Anseropodidae","Anseropoda","Anseropoda placenta","Anseropoda placenta"
"150534","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis entalis","Antalis entalis"
"196380","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis vulgaris","Antalis vulgaris"
"1292","Animalia","Cnidaria","Anthozoa",NA,NA,NA,NA,"Anthozoa"
"118467","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae","Anthura","Anthura gracilis","Anthura gracilis"
"118244","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae",NA,NA,"Anthuridae"
"134723","Animalia","Arthropoda","Pycnogonida","Pantopoda","Phoxichilidiidae","Anoplodactylus","Anoplodactylus petiolatus","Anoplodactylus petiolatus"
"129605","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides",NA,"Aonides"
"131106","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides oxycephala","Aonides oxycephala"
"131107","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides paucibranchiata","Aonides paucibranchiata"
"196381","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","Antalis novemcostata","Antalis novemcostata"
"101464","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora",NA,"Aora sp."
"102012","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora","Aora gracilis","Aora gracilis"
"124201","Animalia","Echinodermata","Crinoidea","Comatulida","Antedonidae","Antedon","Antedon bifida","Antedon bifida"
"101368","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae",NA,NA,"Aoridae sp."
"129240","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta",NA,"Aphelochaeta spp."
"129938","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta marioni","Aphelochaeta cf. marioni"
"102160","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa bispinosa","Apherusa bispinosa"
"102163","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa cirrus","Apherusa cirrus"
"102168","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa jurinei","Apherusa jurinei"
"102172","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa ovalipes","Apherusa ovalipes"
"129840","Animalia","Annelida","Polychaeta","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita aculeata","Aphrodita aculeata"
"126510","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Apletodon","Apletodon dentatus","Apletodon dentatus"
"103471","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Aplidium",NA,"Aplidium"
"103643","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Aplidium","Aplidium elegans","Aplidium elegans"
"101509","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa",NA,"Apherusa"
"138758","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","Aplysia punctata","Aplysia punctata"
"101489","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,"Corophium spp."
"236495","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Apolochus","Apolochus neapolitanus","Apolochus neapolitanus"
"130452","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Aponuphis","Aponuphis bilineata","Aponuphis bilineata"
"136285","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudes","Apseudes talpa","Apseudes talpa"
"247077","Animalia","Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudopsis","Apseudopsis latreillii","Apseudopsis latreillii"
"137654","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia",NA,"Aplysia"
"129854","Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella iricolor","Arabella iricolor"
"141577","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Arcopagia","Arcopagia crassa","Arcopagia crassa"
"129430","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea",NA,"Aricidea"
"525497","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea","Aricidea (Acmira) cerrutii","Aricidea (Acmira) cerrutii"
"130485","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Armandia","Armandia cirrhosa","Armandia cirrhosa"
"103483","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia",NA,"Ascidia"
"103710","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia mentula","Ascidia mentula"
"103717","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia virginea","Ascidia virginea"
"1839","Animalia","Chordata","Ascidiacea",NA,NA,NA,NA,"Ascidiacea"
"129871","Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicolides","Arenicolides grubii","Arenicolides grubii"
"103484","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella",NA,"Ascidiella spp."
"130974","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Asclerocheilus","Asclerocheilus intermedius","Asclerocheilus intermedius"
"879714","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Asbjornsenia","Asbjornsenia pygmaea","Asbjornsenia pygmaea"
"124598","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Aslia","Aslia lefevrei","Aslia lefevrei"
"410717","Animalia","Annelida",NA,"Sipuncula","Aspidosiphonidae","Aspidosiphon","Aspidosiphon (Aspidosiphon) muelleri","Aspidosiphon (Aspidosiphon) muelleri muelleri"
"119024","Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla","Astacilla longicornis","Astacilla longicornis"
"123776","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","Asterias rubens"
"123987","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Asterina","Asterina gibbosa","Asterina gibbosa"
"107273","Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus rotundatus","Atelecyclus rotundatus"
"107274","Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus","Atelecyclus undecimdentatus","Atelecyclus undecimdentatus"
"107486","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas nitescens","Athanas nitescens"
"101773","Animalia","Arthropoda","Malacostraca","Amphipoda","Synopiidae","Austrosyrrhoe",NA,"Austrosyrrhoe"
"477515","Animalia","Arthropoda","Malacostraca","Decapoda","Axiidae","Axius","Axius stirynchus","Axius stirynchus"
"138843","Animalia","Mollusca","Gastropoda","Littorinimorpha","Barleeiidae","Barleeia","Barleeia unifasciata","Barleeia unifasciata"
"123867","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten irregularis","Astropecten irregularis"
"101742","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia",NA,"Bathyporeia spp."
"140812","Animalia","Mollusca","Gastropoda","Pleurobranchida","Pleurobranchidae","Berthella","Berthella plumula","Berthella plumula"
"129523","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Bispira",NA,"Bispira"
"129342","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Axiothella",NA,"Axiothella"
"139054","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiidae","Bittium","Bittium reticulatum","Bittium reticulatum"
"110440","Animalia","Arthropoda","Malacostraca","Cumacea","Bodotriidae","Bodotria","Bodotria arenosa","Bodotria arenosa"
"110445","Animalia","Arthropoda","Malacostraca","Cumacea","Bodotriidae","Bodotria","Bodotria scorpioides","Bodotria scorpioides"
"110347","Animalia","Annelida","Polychaeta","Echiuroidea","Bonelliidae",NA,NA,"Bonelliidae"
"386411","Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","Boreochiton","Boreochiton ruber","Boreochiton ruber"
"849065","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Bosemprella","Bosemprella incarnata","Bosemprella incarnata"
"129524","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma",NA,"Branchiomma"
"421070","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma","Branchiomma bairdi","Branchiomma bairdi"
"104906","Animalia","Chordata","Leptocardii",NA,"Branchiostomatidae","Branchiostoma","Branchiostoma lanceolatum","Branchiostoma lanceolatum"
"138878","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum"
"105","Animalia","Mollusca","Bivalvia",NA,NA,NA,NA,"Bivalvia"
"138952","Animalia","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum glabrum","Caecum glabrum"
"138957","Animalia","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum trachea","Caecum trachea"
"100946","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis parasitica","Calliactis parasitica"
"126792","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Callionymus","Callionymus lyra","Callionymus lyra"
"140132","Animalia","Mollusca","Polyplacophora","Callochitonida","Callochitonidae","Callochiton","Callochiton septemvalvis","Callochiton septemvalvis"
"138961","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Calyptraea","Calyptraea chinensis","Calyptraea chinensis"
"491650","Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Brachystomia","Brachystomia eulimoides","Brachystomia eulimoides"
"129876","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella capitata","Capitella capitata"
"129879","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella minima","Capitella minima"
"130878","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma","Branchiomma bombyx","Branchiomma bombyx"
"101822","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella acanthifera","Caprella acanthifera"
"1762","Animalia","Mollusca","Gastropoda","Nudibranchia",NA,NA,NA,"Nudibranchia spp."
"107381","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas"
"129241","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella",NA,"Caulleriella"
"141767","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","Calliostoma zizyphinum","Calliostoma zizyphinum"
"129943","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","Caulleriella alata","Caulleriella alata"
"134643","Animalia","Arthropoda","Pycnogonida","Pantopoda","Callipallenidae","Callipallene","Callipallene brevirostris","Callipallene brevirostris"
"129944","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","Caulleriella bioculata","Caulleriella bioculata"
"1059646","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Centraloecetes","Centraloecetes kroyeranus","Centraloecetes kroyeranus"
"138998","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma","Cerastoderma edule","Cerastoderma edule"
"107276","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer pagurus","Cancer pagurus"
"100987","Animalia","Cnidaria","Anthozoa","Actiniaria","Sagartiidae","Cereus","Cereus pedunculatus","Cereus pedunculatus"
"283798","Animalia","Cnidaria","Anthozoa","Spirularia","Cerianthidae","Cerianthus","Cerianthus lloydii","Cerianthus lloydii"
"139085","Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiopsidae","Cerithiopsis","Cerithiopsis tubercularis","Cerithiopsis tubercularis"
"2081","Animalia","Chaetognatha",NA,NA,NA,NA,NA,"Chaetognatha"
"101430","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella",NA,"Caprella"
"918","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae",NA,NA,"Chaetopteridae"
"129229","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Chaetopterus",NA,"Chaetopterus"
"129914","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Chaetopterus","Chaetopterus variopedatus","Chaetopterus variopedatus"
"129242","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone",NA,"Chaetozone spp."
"101846","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella penantis","Caprella penantis"
"141908","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Chamelea","Chamelea striatula","Chamelea striatula"
"122348","Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Cerebratulus",NA,"Cerebratulus"
"138880","Animalia","Mollusca","Gastropoda","Neogastropoda","Chauvetiidae","Chauvetia","Chauvetia brunnea","Chauvetia brunnea"
"101669","Animalia","Arthropoda","Malacostraca","Amphipoda","Cheirocratidae","Cheirocratus",NA,"Cheirocratus sp."
"102798","Animalia","Arthropoda","Malacostraca","Amphipoda","Cheirocratidae","Cheirocratus","Cheirocratus sundevallii","Cheirocratus sundevallii"
"107226","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Cestopagurus","Cestopagurus timidus","Cestopagurus timidus"
"880874","Animalia","Arthropoda","Malacostraca","Tanaidacea","Leptocheliidae","Chondrochelia","Chondrochelia savignyi","Chondrochelia savignyi"
"129525","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Chone",NA,"Chone spp."
"129927","Animalia","Annelida","Polychaeta","Phyllodocida","Chrysopetalidae","Chrysopetalum","Chrysopetalum debile","Chrysopetalum debile"
"126448","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Ciliata","Ciliata mustela","Ciliata mustela"
"118839","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Cirolana","Cirolana cranchii","Cirolana cranchi"
"919","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae",NA,NA,"Cirratulidae spp."
"129959","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirratulus","Cirratulus cirratus","Cirratulus cirratus"
"129964","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirriformia","Cirriformia tentaculata","Cirriformia tentaculata"
"903","Animalia","Annelida","Polychaeta",NA,"Paraonidae",NA,NA,"Paraonidae spp."
"102795","Animalia","Arthropoda","Malacostraca","Amphipoda","Cheirocratidae","Cheirocratus","Cheirocratus intermedius","Cheirocratus intermedius"
"141909","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Clausinella","Clausinella fasciata","Clausinella fasciata"
"130277","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Chirimia","Chirimia biceps","Chirimia biceps"
"138315","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys",NA,"Chlamys"
"130278","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella cincta","Clymenella cincta"
"129346","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenura",NA,"Clymenura"
"139229","Animalia","Mollusca","Gastropoda","Neogastropoda","Clathurellidae","Comarmondia","Comarmondia gracilis","Comarmondia gracilis"
"118842","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Conilera","Conilera cylindracea","Conilera cylindracea"
"107552","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon crangon","Crangon crangon"
"138963","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata","Crepidula fornicata"
"129243","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirratulus",NA,"Cirratulus"
"141280","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Crisilla","Crisilla semistriata","Crisilla semistriata"
"126964","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Ctenolabrus","Ctenolabrus rupestris","Ctenolabrus rupestris"
"123187","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae",NA,NA,"Cucumariidae"
"1082","Animalia","Arthropoda","Thecostraca",NA,NA,NA,NA,"Cirripedia"
"118474","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae","Cyathura","Cyathura carinata","Cyathura carinata"
"139476","Animalia","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","Cylichna","Cylichna cylindracea","Cylichna cylindracea"
"131063","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Claparedepelogenia","Claparedepelogenia inclusa","Claparedepelogenia inclusa"
"118936","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Cymodoce","Cymodoce truncata","Cymodoce truncata"
"1389226","Animalia","Mollusca","Gastropoda","Neogastropoda","Raphitomidae","Cyrillia","Cyrillia linearis","Cyrillia linearis"
"102915","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Perioculodes","Perioculodes longimanus","Perioculodes longimanus"
"164811","Animalia","Porifera","Demospongiae",NA,NA,NA,NA,"Demospongiae spp."
"1267","Animalia","Cnidaria",NA,NA,NA,NA,NA,"Cnidaria"
"102135","Animalia","Arthropoda","Malacostraca","Amphipoda","Dexaminidae","Dexamine","Dexamine spinosa","Dexamine spinosa"
"139951","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","Diodora graeca","Diodora graeca"
"107199","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Diogenes","Diogenes pugilator","Diogenes pugilator"
"131285","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Dioplosyllis","Dioplosyllis cirrosa","Dioplosyllis cirrosa"
"125779","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Diplecogaster",NA,"Diplecogaster sp."
"130100","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Diplocirrus","Diplocirrus glaucus","Diplocirrus glaucus"
"141883","Animalia","Mollusca","Bivalvia","Venerida","Ungulinidae","Diplodonta","Diplodonta rotundata","Diplodonta rotundata"
"103457","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Diplosoma",NA,"Diplosoma"
"129611","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Dipolydora",NA,"Dipolydora"
"129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA,"Polydora spp."
"131123","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Dipolydora","Dipolydora saintjosephi","Dipolydora saintjosephi"
"137914","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris",NA,"Doris"
"181228","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris pseudoargus","Doris pseudoargus"
"139623","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris verrucosa","Doris verrucosa"
"130005","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Dorvillea","Dorvillea erucaeformis","Dorvillea erucaeformis"
"130008","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Dorvillea","Dorvillea rubrovittata","Dorvillea rubrovittata"
"141911","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Dosinia","Dosinia exoleta","Dosinia exoleta"
"141912","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Dosinia","Dosinia lupinus","Dosinia lupinus"
"129200","Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Drilonereis",NA,"Drilonereis"
"129856","Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Drilonereis","Drilonereis filum","Drilonereis filum"
"256988","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Dynamene","Dynamene bidentata","Dynamene bidentata"
"132324","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea fragilis","Dysidea fragilis"
"107301","Animalia","Arthropoda","Malacostraca","Decapoda","Leucosiidae","Ebalia","Ebalia tuberosa","Ebalia tuberosa"
"107302","Animalia","Arthropoda","Malacostraca","Decapoda","Leucosiidae","Ebalia","Ebalia tumefacta","Ebalia tumefacta"
