Espece	Mobility	AFF.MO	AMBI	Fragilite	AFF.RO	Tube	Taille	GT	Position	Phylum	Class	Order	Family
Amblyosyllis madeirensis	Mobile	II	II	Tres fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Amblyosyllis spectabilis	Mobile	II	II	Tres fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Ammodytes tobianus			NA						Epifaune				
Ampelisca	Peu mobile	I	I	Peu fragile	Indifferent	1	P	Suspensivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca armoricana	Peu mobile	I	I	Peu fragile	Meuble	1	P	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca anomala			I						Epifaune				
Ampelisca spinimana	Peu mobile	I	I	Peu fragile	Meuble	1	TP	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca spinipes	Peu mobile	I	I	Peu fragile	Meuble	1	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca brevicornis			I						Interstice				
Ampelisca toulemonti	Peu mobile	I	I	Peu fragile	Meuble	1	TP	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca diadema			II						Epifaune				
Ampelisca typica	Peu mobile	I	I	Peu fragile	Meuble	1	P	Suspensivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae
Ampelisca sarsi			I						Epifaune				
Ampharete	Peu mobile	III	I	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Ampharete acutifrons	Peu mobile	III	II	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Ampharete goesi	Peu mobile	III	I	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Ampelisca tenuicornis			I						Epifaune				
Ampharete lindstroemi	Peu mobile	III	I	Tres fragile	Meuble	1	TP	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Amphicteis gunneri	Peu mobile	III	III	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Amphicteis midas	Peu mobile	III	III	Tres fragile	Meuble	1	P	Inconnu	Endofaune	Annelida	Polychaeta	Terebellida	Ampharetidae
Amphictene auricoma	Peu mobile	I	I	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Pectinariidae
Ampharete finmarchica			I						Epifaune				
Amphiglena mediterranea	Peu mobile	I	I	Tres fragile	Dur	1	TP	Suspensivore	Interstice	Annelida	Polychaeta	Sabellida	Sabellidae
Amphilectus fucorum	Fixe	I	NA	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Esperiopsidae
Amphilochus manudens	Mobile	I	II	Peu fragile	Indifferent	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Amphilochidae
Amphipholis squamata	Mobile	I	I	Tres fragile	Dur	0	P	Predateur	Epifaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphipoda	Mobile	I	NA	Peu fragile	Indifferent	1	TP	Omnivore	Interstice	Arthropoda	Malacostraca	Amphipoda	
Amphiporus	Peu mobile	II	NA	Tres fragile	Meuble	0	PM	Predateur	Interstice	Nemertea	Hoplonemertea	Monostilifera	Amphiporidae
Amphitritides gracilis	Peu mobile	I	II	Tres fragile	Indifferent	1	M	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Terebellidae
Amphilectus			NA						Epifaune				
Amphiura	Mobile	I	II	Tres fragile	Indifferent	0	PM	Suspensivore	Endofaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphiura (Amphiura) incana	Mobile	I	NA	Tres fragile	Meuble	0	PM	Suspensivore	Endofaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphilochus			NA						Epifaune				
Amphiura (Ophiopeltis) securigera	Mobile	I	II	Tres fragile	Dur	0	M	Suspensivore	Interstice	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphiura chiajei	Mobile	I	II	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphiura filiformis	Mobile	I	II	Tres fragile	Meuble	0	M	Suspensivore	Interstice	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae
Amphitrite			NA						Endofaune				
Ampithoe ramondi	Mobile	I	III	Peu fragile	Dur	1	P	Herbivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ampithoidae
Ampithoe rubricata	Mobile	I	I	Peu fragile	Dur	1	P	Herbivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ampithoidae
Anapagurus hyndmanni	Mobile	I	I	Peu fragile	Meuble	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Paguridae
Anchialina agilis	Mobile	I	II	Pas fragile	Meuble	0	TP	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Anemonia viridis	Fixe	I	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Actiniidae
Animoceradocus semiserratus	Mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Maeridae
Anapagurus chiroacanthus			I						Epifaune				
Anomia ephippium	Fixe	I	I	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Pectinida	Anomiidae
Anomiidae	Fixe	I	I	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Pectinida	Anomiidae
Anapagurus laevis			III						Epifaune				
Anoplodactylus angulatus	Peu mobile	I	II	Tres fragile	Meuble	0	TP	Omnivore	Epifaune	Arthropoda	Pycnogonida	Pantopoda	Phoxichilidiidae
Anseropoda placenta	Mobile	I	I	Tres fragile	Meuble	0	MG	Predateur	Epifaune	Echinodermata	Asteroidea	Valvatida	Anseropodidae
Antalis entalis	Peu mobile	I	I	Pas fragile	Meuble	0	PM	Deposivore	Endofaune	Mollusca	Scaphopoda	Dentaliida	Dentaliidae
Antalis vulgaris	Peu mobile	I	I	Pas fragile	Meuble	0	PM	Deposivore	Endofaune	Mollusca	Scaphopoda	Dentaliida	Dentaliidae
Anthozoa	Fixe	I	I	Tres fragile	Indifferent	1	MG	Predateur	Interstice	Cnidaria	Anthozoa		
Anthura gracilis	Mobile	I	I	Peu fragile	Dur	1	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Anthuridae
Anthuridae	Peu mobile	II	NA	Peu fragile	Indifferent	0	P	Predateur	Interstice	Arthropoda	Malacostraca	Isopoda	Anthuridae
Anoplodactylus petiolatus			II						Epifaune				
Aonides	Peu mobile	III	III	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Aonides oxycephala	Peu mobile	III	III	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Aonides paucibranchiata	Peu mobile	III	III	Tres fragile	Dur	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Antalis novemcostata			I						Endofaune				
Aora	Mobile	I	I	Tres fragile	Indifferent	1	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Aora gracilis	Mobile	I	I	Tres fragile	Dur	1	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Antedon bifida			NA						Epifaune				
Aora spinicornis	Mobile	I	I	Tres fragile	Indifferent	1	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Aoridae	Mobile	I	I	Tres fragile	Indifferent	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Aphelochaeta	Peu mobile	IV	IV	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Aphelochaeta marioni	Peu mobile	IV	IV	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Apherusa bispinosa	Mobile	I	I	Peu fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Calliopiidae
Apherusa cirrus	Mobile	I	I	Peu fragile	Dur	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Calliopiidae
Apherusa jurinei	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Calliopiidae
Apherusa ovalipes	Mobile	I	I	Peu fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Calliopiidae
Aphroceras ensata	Fixe	I	NA	Tres fragile	Dur	0	P	Suspensivore	Epifaune	Porifera	Calcarea	Leucosolenida	Grantiidae
Aphrodita aculeata	Mobile	II	I	Peu fragile	Meuble	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Aphroditidae
Apletodon dentatus	Mobile	NA	NA	Peu fragile	Dur	0	P	Predateur	Epifaune	Chordata	Actinopteri	Gobiesociformes	Gobiesocidae
Aplidium	Fixe	I	II	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae
Aphelochaeta filiformis			III						Endofaune				
Aplidium elegans	Fixe	I	II	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae
Apherusa			NA						Epifaune				
Aplysia depilans	Mobile	I	I	Tres fragile	Indifferent	0	M	Herbivore	Epifaune	Mollusca	Gastropoda	Aplysiida	Aplysiidae
Aplysia punctata	Mobile	I	I	Tres fragile	Indifferent	0	M	Herbivore	Epifaune	Mollusca	Gastropoda	Aplysiida	Aplysiidae
Apocorophium acutum	Mobile	III	III	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Apolochus neapolitanus	Mobile	I	II	Pas fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Amphilochidae
Apolochus spencebatei	Peu mobile	I	II	Pas fragile	Meuble	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Amphipoda	Amphilochidae
Aponuphis bilineata	Mobile	I	I	Tres fragile	Meuble	1	PM	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Onuphidae
Apseudes talpa	Mobile	III	II	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Tanaidacea	Apseudidae
Apseudopsis latreillii	Mobile	III	III	Peu fragile	Indifferent	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Tanaidacea	Apseudidae
Aplysia			NA						Epifaune				
Arabella iricolor	Mobile	II	I	Peu fragile	Indifferent	0	G	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Oenonidae
Arcopagia crassa	Peu mobile	I	I	Pas fragile	Meuble	0	PM	Deposivore	Endofaune	Mollusca	Bivalvia	Cardiida	Tellinidae
Aricidea	Peu mobile	I	I	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Paraonidae
Aricidea (Acmira) cerrutii	Peu mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta		Paraonidae
Armandia cirrhosa	Peu mobile	I	I	Tres fragile	Indifferent	0	TP	Deposivore	Endofaune	Annelida	Polychaeta		Opheliidae
Armandia polyophthalma	Peu mobile	I	I	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Opheliidae
Ascidia	Fixe	I	III	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Ascidia mentula	Fixe	I	III	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Ascidia virginea	Fixe	I	III	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Ascidiacea	Fixe	I	III	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Chordata	Ascidiacea		
Ascidiella	Fixe	I	III	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Arenicolides ecaudata			NA						Endofaune				
Ascidiella aspersa	Fixe	I	III	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Ascidiella scabra	Fixe	I	III	Tres fragile	Dur	0	P	Suspensivore	Epifaune	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae
Asclerocheilus intermedius	Peu mobile	I	III	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Scalibregmatidae
Asbjornsenia pygmaea			I						Epifaune				
Aslia lefevrei	Peu mobile	I	NA	Peu fragile	Dur	0	M	Inconnu	Interstice	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae
Aspidosiphon (Aspidosiphon) muelleri muelleri	Peu mobile	I	I	Tres fragile	Dur	0	PM	Detritivore	Endofaune	Sipuncula	Phascolosomatidea	Aspidosiphonida	Aspidosiphonidae
Astacilla longicornis	Mobile	I	I	Peu fragile	Indifferent	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Arcturidae
Asterias rubens	Mobile	I	III	Peu fragile	Dur	0	MG	Predateur	Epifaune	Echinodermata	Asteroidea	Forcipulatida	Asteriidae
Asterina gibbosa	Mobile	I	I	Peu fragile	Dur	0	PM	Predateur	Epifaune	Echinodermata	Asteroidea	Valvatida	Asterinidae
Atelecyclus rotundatus	Mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Atelecyclidae
Atelecyclus undecimdentatus	Mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Atelecyclidae
Athanas nitescens	Mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Alpheidae
Austrosyrrhoe	Mobile	I	NA	Tres fragile	Meuble	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Synopiidae
Axius stirhynchus	Mobile	I	NA	Peu fragile	Meuble	0	PM	Inconnu	Epifaune	Arthropoda	Malacostraca	Decapoda	Axiidae
Balanus spongicola	Fixe	NA	II	Pas fragile	Dur	0	P	Suspensivore	Epifaune	Arthropoda	Thecostraca	Balanomorpha	Balanidae
Barleeia unifasciata	Peu mobile	I	II	Peu fragile	Dur	0	TP	Herbivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Barleeiidae
Astropecten irregularis			I						Interstice				
Bathyporeia pelagica	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae
Bathyporeia sarsi	Mobile	I	I	Pas fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae
Bathyporeia tenuipes	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae
Auchenoplax crinita			NA						Endofaune				
Berthella plumula	Mobile	I	I	Tres fragile	Dur	0	PM	Brouteur	Epifaune	Mollusca	Gastropoda	Pleurobranchida	Pleurobranchidae
Bispira	Fixe	I	I	Tres fragile	Dur	1	PM	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Axiothella			NA						Endofaune				
Bittium reticulatum	Peu mobile	I	I	Pas fragile	Meuble	0	P	Brouteur	Epifaune	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiidae
Balanus balanus			II						Epifaune				
Bodotria arenosa	Mobile	I	II	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Cumacea	Bodotriidae
Balanus crenatus			II						Epifaune				
Bodotria scorpioides	Mobile	I	I	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Cumacea	Bodotriidae
Bonelliidae	Peu mobile	I	NA	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Annelida	Polychaeta	Echiuroidea	Bonelliidae
Boreochiton ruber	Peu mobile	I	I	Peu fragile	Dur	0	TP	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Tonicellidae
Bosemprella incarnata	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Tellinidae
Branchiomma	Peu mobile	I	I	Tres fragile	Indifferent	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Branchiomma bairdi	Fixe	I	I	Tres fragile	Dur	1	P	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Branchiostoma lanceolatum	Mobile	I	I	Peu fragile	Meuble	0	PM	Suspensivore	Endofaune	Chordata	Leptocardii		Branchiostomatidae
Buccinum undatum	Mobile	I	II	Pas fragile	Dur	0	PM	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Buccinidae
Bivalvia			NA						Interstice				
Caecum glabrum	Fixe	I	I	Tres fragile	Meuble	0	TP	Brouteur	Endofaune	Mollusca	Gastropoda	Littorinimorpha	Caecidae
Caecum trachea	Peu mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Interstice	Mollusca	Gastropoda	Littorinimorpha	Caecidae
Calliactis parasitica	Fixe	I	NA	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Hormathiidae
Callionymus lyra	Mobile	NA	NA	Peu fragile	Meuble	0	MG	Predateur	Epifaune	Chordata	Actinopteri	Callionymiformes	Callionymidae
Callochiton septemvalvis	Peu mobile	I	I	Peu fragile	Meuble	0	P	Brouteur	Epifaune	Mollusca	Polyplacophora	Chitonida	Callochitonidae
Calyptraea chinensis	Fixe	I	I	Tres fragile	Dur	0	P	Suspensivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae
Brachystomia eulimoides			II						Epifaune				
Capitella capitata	Peu mobile	IV	V	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Capitella minima	Peu mobile	IV	V	Tres fragile	Indifferent	1	P	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Branchiomma bombyx			I						Epifaune				
Branchiomma lucullanum			I						Epifaune				
Capnea sanguinea	Fixe	I	NA	Tres fragile	Meuble	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Capneidae
Caprella acanthifera	Mobile	I	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Caprellidae
Bubaris vermiculata			NA						Epifaune				
Caprella fretensis	Peu mobile	I	II	Peu fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Caprellidae
Caprella grandimana	Peu mobile	I	II	Peu fragile	Dur	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Caprellidae
Cadlina laevis			NA						Epifaune				
Carcinus maenas	Mobile	I	III	Tres fragile	Indifferent	0	PM	Omnivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Carcinidae
Cataphellia brodricii	Fixe	I	NA	Tres fragile	Dur	0	PM	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Hormathiidae
Caulleriella	Peu mobile	IV	III	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Calliostoma zizyphinum			I						Epifaune				
Caulleriella alata	Peu mobile	IV	III	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Callipallene brevirostris			I						Epifaune				
Caulleriella bioculata	Peu mobile	IV	III	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Centraloecetes kroyeranus	Peu mobile	III	I	Peu fragile	Meuble	1	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae
Campylaspis legendrei			II						Endofaune				
Cerastoderma edule	Peu mobile	III	III	Pas fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Cardiidae
Cancer pagurus			III						Epifaune				
Cereus pedunculatus	Fixe	I	I	Tres fragile	Dur	0	M	Predateur	Endofaune	Cnidaria	Anthozoa	Actiniaria	Sagartiidae
Cerianthus lloydii	Fixe	I	I	Peu fragile	Indifferent	1	M	Predateur	Interstice	Cnidaria	Anthozoa	Spirularia	Cerianthidae
Cerithiopsis tubercularis	Peu mobile	I	I	Pas fragile	Dur	0	TP	Predateur	Epifaune	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiopsidae
Chaetognatha	Mobile	NA	NA	Pas fragile	Indifferent	0	P	Predateur	Epifaune	Chaetognatha			
Caprella			NA						Epifaune				
Chaetopteridae	Fixe	I	IV	Tres fragile	Indifferent	1	M	Suspensivore	Interstice	Annelida	Polychaeta		Chaetopteridae
Chaetopterus	Peu mobile	I	I	Tres fragile	Indifferent	1	PM	Suspensivore	Endofaune	Annelida	Polychaeta		Chaetopteridae
Chaetopterus variopedatus	Peu mobile	I	I	Tres fragile	Meuble	1	MG	Suspensivore	Endofaune	Annelida	Polychaeta		Chaetopteridae
Chaetozone	Peu mobile	IV	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Caprella penantis			II						Epifaune				
Chaetozone caputesocis	Peu mobile	IV	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Caprelloidea			NA						Epifaune				
Chaetozone christiei	Peu mobile	IV	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Chaetozone corona	Peu mobile	III	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Chaetozone gibber	Peu mobile	IV	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Chaetozone zetlandica	Peu mobile	IV	IV	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Chamelea striatula	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Veneridae
Cerebratulus			NA						Endofaune				
Chauvetia brunnea	Peu mobile	I	I	Pas fragile	Dur	0	TP	Oophage	Epifaune	Mollusca	Gastropoda	Neogastropoda	Chauvetiidae
